iter	RMSE
190	11.07562564
191	11.07354619
192	11.07148632
193	11.06943747
194	11.0674064
195	11.06534839
196	11.06332948
197	11.06139261
198	11.05928664
199	11.05711996
200	11.05511527
201	11.0532304
202	11.05143794
203	11.04959923
204	11.04770756
205	11.04589493
206	11.04413134
207	11.04238845
208	11.04051867
209	11.03860055
210	11.03676937
211	11.0350074
212	11.03328266
213	11.03166722
214	11.02967587
215	11.02805835
216	11.02650601
217	11.024863
218	11.02318768
219	11.02170259
220	11.0201456
221	11.01861208
222	11.01704741
223	11.01528441
224	11.01375384
225	11.01226907
226	11.01084964
227	11.00919174
228	11.00770592
229	11.00636278
230	11.00466088
231	11.00304284
232	11.0013955
233	11.0000798
234	10.99878123
235	10.9975581
236	10.99619909
237	10.99488807
238	10.99346334
239	10.99192774
240	10.99066228
241	10.98952119
242	10.98818274
243	10.9868354
244	10.98538503
245	10.98415253
246	10.98284153
247	10.98148721
248	10.9802847
249	10.97897951
250	10.97776196
251	10.97662209
252	10.97552718
253	10.97445777
254	10.97340874
255	10.97222846
256	10.97117954
257	10.97012655
258	10.96897338
259	10.96799614
260	10.96700653
261	10.96586192
262	10.96491274
263	10.96390508
264	10.96279915
265	10.96176757
266	10.96080581
267	10.95960861
268	10.95874633
269	10.95779828
270	10.95678873
271	10.95586636
272	10.95497006
273	10.95405534
274	10.95308574
275	10.95210928
276	10.95130277
277	10.95026246
278	10.94943695
279	10.94862683
280	10.94774078
281	10.94680149
282	10.94595977
283	10.94514811
284	10.94434813
285	10.94350585
286	10.94273294
287	10.94194436
288	10.94114084
289	10.94021485
290	10.93942817
291	10.93865933
292	10.93781429
293	10.93703345
294	10.93623853
295	10.93549048
296	10.93472104
297	10.93399028
298	10.93318158
299	10.9324945
300	10.93160815
301	10.93082517
302	10.93004819
303	10.92939492
304	10.92862013
305	10.92788598
306	10.92712281
307	10.9263713
308	10.92570288
309	10.92496841
310	10.92427225
311	10.92359703
312	10.92289739
313	10.92211433
314	10.92143036
315	10.9208108
316	10.92011878
317	10.91943634
318	10.91875467
319	10.91813912
320	10.91744732
321	10.91681498
322	10.91616213
323	10.91552635
324	10.91489387
325	10.91422661
326	10.91359193
327	10.91298282
328	10.9122533
329	10.91161848
330	10.91086051
331	10.91027241
332	10.90968112
333	10.90904632
334	10.90845302
335	10.90790826
336	10.90727218
337	10.90665245
338	10.90616301
339	10.90558535
340	10.90506238
341	10.9044852
342	10.90386535
343	10.90330991
344	10.90274711
345	10.90221072
346	10.90169307
347	10.90117435
348	10.9004462
349	10.89979416
350	10.89928211
351	10.89876807
352	10.89829371
353	10.89780016
354	10.89716735
355	10.89652054
356	10.89590998
357	10.89541896
358	10.89490867
359	10.89438818
360	10.89376706
361	10.89321442
362	10.89276432
363	10.89218569
364	10.89166269
365	10.8912591
366	10.89076227
367	10.89027441
368	10.88982418
369	10.88941593
370	10.88884439
371	10.88836318
372	10.88793258
373	10.88736338
374	10.88678468
375	10.88622895
376	10.88562638
377	10.88513502
378	10.88471438
379	10.88418334
380	10.88372503
381	10.88314149
382	10.88266561
383	10.8820849
384	10.88157487
385	10.88115885
386	10.88061603
387	10.88017334
388	10.87961578
389	10.87905651
390	10.87847459
391	10.87806667
392	10.87760975
393	10.87716528
394	10.8767075
395	10.8763422
396	10.87580078
397	10.87541104
398	10.87497534
399	10.87444665
400	10.87404739
401	10.87367523
402	10.87324572
403	10.87282811
404	10.87236922
405	10.87193811
406	10.87158531
407	10.87113329
408	10.87072459
409	10.87039478
410	10.86988572
411	10.86942123
412	10.86898194
413	10.86856152
414	10.86809045
415	10.8676768
416	10.86720118
417	10.8666839
418	10.86634935
419	10.86587689
420	10.8655071
421	10.86502636
422	10.8646418
423	10.86417883
424	10.86382778
425	10.86343671
426	10.86293569
427	10.86263251
428	10.86232305
429	10.86189349
430	10.86154391
431	10.86111888
432	10.86076117
433	10.86028462
434	10.85987998
435	10.85957715
436	10.85916379
437	10.85871798
438	10.8583267
439	10.85792371
440	10.85753118
441	10.85722319
442	10.85676161
443	10.85644334
444	10.85598871
445	10.85557693
446	10.85528205
447	10.85500032
448	10.8546376
449	10.85426761
450	10.85385686
451	10.85353106
452	10.85318951
453	10.85286674
454	10.85245165
455	10.85219018
456	10.85181014
457	10.8514707
458	10.85117632
459	10.85087143
460	10.85054449
461	10.85011691
462	10.84986581
463	10.84957794
464	10.84927002
465	10.84886967
466	10.84859369
467	10.84827658
468	10.84798473
469	10.84749159
470	10.84723298
471	10.84692496
472	10.84657835
473	10.84620373
474	10.84592051
475	10.84559019
476	10.84528162
477	10.84499901
478	10.84466255
479	10.844439
480	10.84407722
481	10.84369706
482	10.84340833
483	10.84307925
484	10.84260515
485	10.84219761
486	10.84188465
487	10.84162066
488	10.84134256
489	10.84098297
490	10.84067738
491	10.84033445
492	10.83996088
493	10.83964146
494	10.83929326
495	10.83895768
496	10.83855404
497	10.8383385
498	10.83807145
499	10.83783591
